ATK Tahtitieteessa kurssin harjoitustyo:
Kirkkaimpien tahtien koordinaatit ja naennainen magnitudi
      RA (deg)     DEC (deg)     VMAG 
     11.545417     44.861389     6.050
     11.423750    -16.424166     6.470
     11.676666     59.574444     6.390
     11.942083     74.847504     5.410
     11.440000    -47.551666     5.800
     11.549167    -22.521944     5.500
     11.637500     15.475555     5.380
     12.037917     72.674995     5.870
     11.756250     11.973888     5.500
     11.806666     19.578890     6.130
     11.834583     24.267221     4.060
     11.848333      6.740834     5.990
     11.978333     20.925278     6.540
     11.930417    -18.061388     5.700
     12.275000     57.815834     3.440
     12.004583    -21.722500     5.570
     12.072500      7.300000     5.930
     12.095834      5.280556     5.750
     12.208750     50.968334     4.890
     12.170834      7.585000     4.430
     12.244583     16.940556     5.070
     12.453333     41.078888     4.530
     12.356667    -13.561389     5.590
     12.307917    -24.136389     5.900
     12.236250    -46.697781     6.270
     12.470000     27.710835     7.000
     12.471666     27.710279     7.100
     12.389167    -23.361668     6.280
     12.681666     64.247498     5.390
     12.576250     45.002224     6.150
     12.531667    -10.644444     5.190
     12.147500    -74.923332     5.070
     12.818334     61.805832     6.070
     12.739166     51.508057     6.390
     12.515417    -43.394726     6.480
     13.721250     83.707222     5.620
     12.890417     51.571110     6.210
     12.671667    -50.986946     5.220
     12.826250      3.385000     6.370
     13.267083     61.124165     4.820
     12.967083    -43.709167     6.900
     13.222500     38.548611     6.690
     13.169167    -24.005833     5.460
     13.252084     -1.144167     4.770
     13.367500     37.418056     6.060
     13.448334     52.689167     6.270
     13.301666    -24.776945     6.460
     13.101250    -69.504448     6.220
     13.750417     58.972778     4.830
     13.646667     19.188332     5.740
     13.573334     -8.740833     6.160
     13.771667     48.678612     6.270
     13.407917    -62.871387     5.700
     13.741667     23.628334     5.470
     13.811250     24.556944     6.200
     14.053750     57.996666     6.210
     14.231667     68.776115     6.370
     13.993750     27.209446     6.090
     13.926666     -7.347222     5.850
     14.177083     60.716667     2.470
     14.165833     59.181114     4.630
     14.196250     60.362778     5.550
     14.006250    -11.266666     5.310
     13.981250    -27.775555     6.100
     14.188334     38.499443     3.870
     13.751250    -69.526947     5.450
     14.301666     23.417500     4.420
     14.415417     45.839722     6.120
     14.629583     66.352219     5.970
     14.459167     28.992222     5.420
     14.559167     33.950832     5.980
     14.477083     13.695833     6.320
     14.578750     21.404444     6.370
     15.129167     70.983055     6.390
     14.682917    -11.380000     5.610
     14.651667    -29.357500     4.310
     14.593333    -60.696388     6.230
     15.014167     44.711113     6.840
     15.015000     44.713333     6.040
     14.957084      6.483056     6.110
     17.186251     86.256943     4.250
     23.459999     89.015556     6.460
     15.576667     51.035000     6.470
     15.326250    -38.916668     5.590
     15.756250     47.376110     6.450
     15.726250     41.344997     5.980
     15.704583     31.804443     5.500
     15.904166     61.075001     5.920
     15.610000    -31.551943     5.500
     15.735833      7.890000     4.280
     15.507500    -57.002499     6.110
     15.760834     -4.836667     5.430
     16.081667     61.580276     5.840
     16.010000     52.502224     5.990
     15.705000    -46.397503     5.360
     15.823334    -29.525833     6.290
     15.954166      1.366667     6.040
     16.195000     51.009998     6.540
     16.115000     29.658611     6.190
     15.678750    -65.456108     6.210
     16.151667     39.991112     6.720
     19.056250     87.145279     6.250
     16.219166      5.656389     6.000
     16.272499     14.946111     5.680
     16.594999     62.761665     6.540
     16.420416     21.473333     5.340
     16.423750     21.465279     5.560
     17.301250     80.011665     6.290
     16.455000      4.908333     6.350
     16.464167      4.909444     7.250
     16.403334     -9.979166     6.120
     16.750834     56.935001     6.430
     16.521250     -9.839444     5.580
     16.789583     53.498333     6.380
     16.639999     12.956111     6.120
     16.532084    -23.992500     6.140
     17.068333     54.920280     5.170
     16.520834    -46.718613     3.310
     16.610416    -35.660835     6.610
     17.003750     43.941944     5.030
     16.804583    -23.996389     6.370
     17.138750     58.263611     5.790
     17.005417     32.012222     6.250
     16.988333     20.739166     5.550
     16.942499     -9.785556     5.820
     17.092501      5.649722     5.520
     16.949583    -41.486946     5.210
     16.827917    -61.775276     5.370
     18.069584     79.673889     5.640
     17.147499    -10.182222     3.450
     17.375834     47.241943     4.250
     17.663750     68.778618     5.290
     17.432917     35.620552     2.060
     17.096251    -55.245834     3.920
     17.455000     19.658611     5.550
     17.578333     42.081387     5.650
     17.580833     25.457779     5.800
     17.856667     64.202774     5.550
     17.775833     55.149723     4.330
     17.547916     15.674167     6.060
     17.922501     65.018890     5.570
     17.549999     -8.906111     6.400
     17.639999      2.445556     5.950
     17.792917     37.724167     5.810
     17.778334     31.424721     5.160
     17.530834    -57.694447     6.410
     17.863333     21.034721     4.660
     17.915001     30.089724     4.510
     17.931250     -2.251111     5.940
     18.291250     61.705833     6.410
     18.141666     45.337776     6.110
     18.247917     30.064165     6.190
     19.127916     79.910004     6.260
     18.097500    -30.802221     6.520
     18.189167    -37.856388     5.920
     18.437084     24.583612     4.650
     18.432917      7.575278     5.240
     18.438749      7.578333     6.300
     18.520834     28.529722     6.430
     18.531666     16.133612     5.980
     19.050417     71.743889     7.830
     18.600000     -7.923055     5.130
     18.676666      6.995278     6.030
     18.705000     -0.973889     5.700
     19.102083     48.082222     6.610
     18.796249    -45.531387     4.960
     19.078333     33.114719     6.020
     19.271250     44.901947     6.340
     19.151251     -2.500278     5.410
     19.350416     31.744722     6.730
     20.081249     77.570557     6.310
     19.542500     47.419724     6.250
     18.942083    -68.876114     4.860
     19.450001      3.614444     5.160
     19.695833     37.386112     6.460
     19.264999    -66.398056     6.240
     20.496250     76.238884     6.380
     20.020416     58.231667     4.980
     19.866667     27.264166     4.760
     20.271667     64.658333     6.340
     19.951250     -0.508889     5.870
     20.945000     78.725830     6.070
     20.143749     -3.246944     6.230
     20.115833    -11.238889     6.150
     20.280834     28.738056     5.230
     20.584999     45.528889     4.880
     20.840000     58.143059     6.450
     20.654167      1.726389     6.200
     20.645000     -0.449722     6.490
     20.627083    -19.081390     6.350
     20.919167     37.715000     5.580
     20.906250     34.245834     6.290
     20.853750     20.468889     5.970
     21.443750     70.980003     6.490
     21.483334     68.130005     4.740
     20.879168    -30.945555     5.840
     21.010416     -8.007500     6.210
     21.005833     -8.183333     3.600
     21.454166     60.235279     2.680
     21.085833     -6.914722     5.910
     21.165833    -15.660277     6.140
     21.202917     -2.848611     6.150
     21.398750     23.511667     6.180
     21.170000    -41.492500     5.420
     21.577499     43.457779     5.960
     21.536249     34.579720     6.310
     21.174583    -44.528332     6.260
     21.405001    -14.598888     4.900
     21.563749     19.172222     5.380
     21.673750     19.240278     5.500
     21.775833     34.377499     6.270
     21.613750     -0.398611     6.410
     21.914167     45.406670     4.830
     21.860834     41.100555     6.460
     21.722918      3.535278     6.580
     21.272083    -64.369446     5.930
     21.715000    -13.056667     5.660
     21.945833     40.335556     6.600
     21.742083    -32.543056     5.790
     37.952915     89.264168     2.020
     21.944166    -10.901667     6.130
     22.095417      7.961389     6.200
     22.807501     70.264725     5.810
     22.717916     66.098061     6.140
     22.091249    -43.318333     3.410
     22.525833     47.007221     5.270
     22.180416    -33.763611     6.580
     22.470417     18.355556     6.020
     22.400417    -21.629444     5.120
     22.546249      6.143889     4.840
     22.376667    -46.756390     6.310
     22.595417    -26.207779     5.930
     22.870832     15.345833     3.620
     23.031666     34.799999     6.390
     23.357500     58.327499     5.700
     22.812916    -49.072777     3.950
     22.930416    -30.283333     5.820
     23.482916     59.231945     4.710
     22.912916    -45.575554     6.170
     23.264584     -9.014722     6.590
     23.233334    -36.865276     5.510
     23.569166     37.237221     5.880
     23.151251    -49.727779     6.280
     23.428749     -7.025278     5.760
     24.343750     74.300835     6.580
     23.704584     18.460556     5.890
     23.657499    -15.676111     5.630
     23.968750     41.076389     6.380
     23.711250    -31.892221     6.120
     24.113333     48.722778     5.920
     23.943333     14.661388     6.220
     24.628750     73.040001     5.280
     23.978333     17.433611     5.800
     24.199167     41.405556     4.090
     23.995832    -15.400277     5.420
     23.813334    -58.139446     6.010
     24.531666     57.977501     5.560
     24.035000    -29.907499     5.690
     24.274584     12.141666     5.570
     24.498333     48.628330     3.570
     24.632084     45.400002     6.360
     24.407084     -9.403889     6.240
     23.413334    -78.504723     6.110
     24.186666    -58.270832     6.180
     24.837500     44.386112     4.980
     25.054583     53.868332     6.390
     24.614166    -36.528332     5.940
     24.428749    -57.236668     0.460
     24.715834    -21.275278     5.580
     24.708334    -25.021944     6.700
     24.920000     16.405832     5.970
     25.165833     43.297779     5.610
     25.145000     40.576942     4.940
     25.585417     68.043053     5.590
     24.700834    -53.438889     6.840
     25.732916     70.622505     5.180
     25.512501     61.038334     6.710
     25.574167     58.627777     6.370
     25.446667     42.613609     4.950
     25.326666     25.745834     6.170
     25.413334     30.047222     5.990
     24.947500    -56.198055     5.870
     24.949167    -56.194725     5.760
     25.743334     61.421669     6.340
     25.357916      5.487500     4.440
     25.514584     35.245556     5.640
     25.832083     60.551109     5.780
     25.436251    -11.324722     5.750
     25.624166     20.268610     5.240
     25.363750    -38.133053     6.170
     25.818750     45.322220     6.340
     25.915001     50.688614     4.070
     25.535833    -32.326942     5.250
     25.512501    -36.832500     5.720
     26.074583     57.536388     6.210
     25.681250     -3.690278     4.990
     25.421249    -50.038887     6.640
     26.192083     57.089165     6.250
     25.958334     32.191669     6.340
     26.110416     46.139725     6.350
     25.450001    -60.789444     5.710
     25.622084    -53.740555     5.520
     25.978333     -4.765555     6.190
     26.232500     20.083055     6.270
     26.017084    -15.937500     3.500
     26.348333      9.157778     4.260
     26.936666     63.852222     5.630
     24.481667    -82.974998     5.870
     26.497084     -5.733334     5.340
     26.411667    -25.052500     5.310
     26.647083     17.413055     6.550
     25.338751    -79.148331     6.330
     26.504168    -27.349167     6.390
     26.950001     46.229721     6.320
     26.524166    -50.816387     5.490
     26.526251    -53.521946     5.040
     27.162083     37.952778     5.940
     27.045416     16.955557     5.840
     27.173334     32.690277     5.790
     26.820000    -41.759998     6.180
     24.366667    -84.769722     5.690
     27.315416     47.896946     5.820
     27.108334      3.685556     5.910
     26.949167    -37.159725     6.320
     27.737917     51.933334     5.900
     27.535418     22.275278     5.860
     27.396250    -10.686389     4.670
     27.331249    -31.072779     6.340
     27.997084     55.147503     5.520
     27.716667     11.043334     5.940
     27.453333    -38.403889     6.370
     28.039167     50.792778     5.790
     27.584167    -47.816387     6.140
     28.211666     51.474724     6.260
     27.865000    -10.335000     3.730
     28.452084     55.598053     6.450
     27.727083    -50.206112     5.940
     28.598749     63.670002     3.380
     28.322083     40.729721     5.400
     28.270416     29.578890     3.410
     28.382500     19.295834     4.830
     28.382500     19.293612     4.750
     28.217083    -16.929167     5.800
     29.000000     68.685280     4.990
     28.388750      3.187500     4.620
     26.943750    -80.176666     6.060
     28.724167     40.701946     6.240
     28.739584     37.128330     6.260
     28.660000     20.808054     2.640
     28.346666    -38.594723     6.100
     28.411667    -46.302498     4.410
     28.976667     37.277779     5.890
     29.038750     37.251667     5.670
     28.591667    -42.496944     5.110
     28.962500     23.577223     5.740
     28.974167      1.849722     6.010
     29.638750     61.698055     6.020
     29.485001     41.694447     6.780
     29.337917     17.817501     5.100
     29.432501     27.804443     5.820
     29.167500    -22.526945     4.850
     28.989584    -51.608887     3.700
     29.908333     64.621391     5.260
     29.639999     49.204166     5.690
     29.482084     23.596111     4.790
     28.733749    -67.647217     4.690
     28.943333    -60.861389     6.060
     30.738333     77.916389     6.040
     29.250416    -51.766109     6.100
     29.291666    -47.385002     4.830
     30.489166     70.906944     4.540
     29.611250    -33.066666     6.350
     29.898750     21.058332     5.870
     29.857916     12.294723     6.090
     30.793751     73.850555     6.230
     30.858749     72.421387     3.980
     31.280834     77.281395     5.380
     30.038334      3.097222     5.880
     29.942083    -20.824446     5.410
     29.473333    -65.424721     6.370
     30.001249    -21.077778     4.000
     30.719584     64.901390     6.000
     30.112083     -8.523611     5.510
     29.911667    -42.030556     5.570
     30.751249     64.389999     5.580
     30.575417     54.487499     5.040
     29.692499    -61.569721     2.860
     31.379999     76.114998     5.220
     28.960417    -78.348335     6.160
     30.311251    -30.001667     5.350
     30.511667      2.763611     5.230
     30.511667      2.763611     4.330
     32.355415     81.295830     6.050
     31.167084     65.103333     6.520
     30.741667     33.283890     5.500
     29.921249    -66.066391     6.100
     30.646667     13.476666     5.940
     30.426666    -44.713612     5.140
     30.975000     42.329720     2.260
     30.977917     42.330833     4.840
     30.913750     25.935555     5.630
     30.617083    -29.664999     6.420
     30.798750      0.128333     5.430
     30.744167    -15.305834     5.860
     30.927500     18.253334     6.210
     30.950834     -0.340278     5.930
     30.918751     -4.103611     5.620
     31.122499    -29.296944     4.690
     31.641251     22.648333     5.030
     31.551250      8.247500     6.310
     31.705000     25.704723     6.150
     31.622084      0.035000     6.280
     31.793333     23.462502     2.000
     32.168751     58.423611     5.670
     32.139999     44.459446     6.420
     32.122082     37.859165     4.820
     32.532501     53.843056     6.310
     32.385834     34.987221     3.000
     32.355415     25.939722     4.980
     32.346249     17.224445     6.430
     32.190418    -17.779444     6.100
     33.338333     74.027779     6.290
     32.870834     57.645836     6.360
     32.720001     39.039444     5.630
     32.723751     39.043056     6.100
     32.395000    -24.345835     6.480
     32.656666     19.500278     5.700
     32.288750    -43.516666     5.850
     32.799999     25.936943     6.020
     32.854168     31.526388     6.230
     32.837917      8.569722     5.630
     32.520416    -43.815556     6.320
     32.606667    -50.824444     6.120
     32.842499    -10.052222     6.010
     32.899166     -1.825278     5.930
     33.621250     66.524445     6.070
     33.422916     58.561111     6.440
     33.092918     30.303055     4.940
     33.305416     44.231667     4.830
     33.156250     24.167778     5.960
     33.401249     51.065834     5.310
     33.200417     21.210835     5.270
     33.510834     47.484165     6.060
     33.263748     15.279722     5.710
     33.250000      8.846666     4.370
     33.197918     -2.393611     5.540
     33.253750    -21.000278     5.860
     33.227085    -30.723890     5.280
     33.991249     47.811390     6.330
     34.215416     57.055279     6.480
     33.984165     33.358887     5.280
     33.941666     25.783054     5.790
     33.928333     25.043055     5.580
     33.867916     -9.465555     6.550
     33.633335    -41.166668     5.910
     34.263332     34.224167     4.870
     34.499584     57.899723     5.750
     34.518749     57.516666     5.980
     34.389168     44.306942     6.700
     34.328751     33.847221     4.010
     34.293335     23.767778     6.550
     34.245834     -6.422222     5.510
     33.561249    -67.841667     5.550
     35.053749     64.337227     6.600
     34.531250     19.901112     5.620
     34.820000     47.379997     5.300
     34.795418     46.472500     6.210
     34.505833      1.757778     5.580
     34.844582     48.955280     6.370
     34.127499    -51.512222     3.560
     34.737499     28.642500     5.030
     34.741665     23.167778     6.460
     34.905418     39.834999     6.630
     33.868752    -67.746384     5.690
     35.172501     47.310833     6.110
     35.018333     30.188332     6.470
     34.836250     -2.977500     3.040
     35.242500     50.151390     5.590
     34.743752    -25.945555     6.340
     34.919998     -4.345556     6.500
     35.589169     55.845554     5.170
     34.852917    -41.848331     6.370
     35.709583     41.396389     5.820
     34.976250    -55.944725     5.810
     35.485832      0.395833     5.280
     35.965832     55.364445     6.280
     35.551666     -0.885000     5.420
     35.505833    -10.777778     5.460
     35.520832    -17.662222     5.870
     36.103748     50.006668     5.190
     35.635834    -23.816387     5.200
     36.316666     56.609997     6.250
     35.740833    -18.354445     6.220
     35.549168    -43.200001     6.310
     36.405834     50.278610     4.710
     35.777084    -37.576389     6.530
     35.727501    -51.092220     5.920
     36.204166     10.610556     5.470
     36.083752    -25.847500     6.440
     36.243332     -2.780000     6.330
     35.437084    -68.659447     4.090
     36.140835    -40.840553     6.180
     37.266666     67.402504     4.520
     36.487499    -12.290556     4.890
     36.965832     50.569721     6.120
     36.501251    -15.341111     5.830
     36.779167     27.013334     6.180
     36.865417     31.801388     5.540
     36.646667    -20.042778     5.880
     36.224583    -60.311943     5.350
     35.717918    -73.645828     5.010
     37.354168     55.536388     6.510
     37.041668     29.669443     5.290
     37.039585      8.460000     4.280
     37.000000      1.960833     6.450
     37.202084     29.931944     5.890
     36.746250    -47.703888     4.250
     36.359585    -66.494720     6.410
     37.306667     23.468889     6.190
     37.007084    -33.811111     5.140
     37.397083      9.565833     6.070
     37.569168     33.833889     6.250
     37.147499    -31.102501     6.110
     37.634998     25.235001     5.920
     37.660000     19.855278     6.150
     37.480835    -22.682777     6.770
     37.726665     17.703890     6.230
     37.688332      0.255278     6.000
     37.557499    -25.186388     6.510
     37.018333    -64.299721     6.370
     37.636665    -22.545555     6.100
     38.025833     36.147224     5.150
     37.875416      2.267222     5.250
     38.218750     34.542500     5.830
     38.039165     -1.035000     5.350
     38.021667    -15.244722     4.750
     38.225418     15.034722     6.040
     38.061668    -36.427502     6.300
     39.508335     72.818329     5.160
     38.279167    -34.650002     5.900
     38.417500    -20.001944     6.210
     38.866249     39.664448     6.360
     39.400417     65.745552     5.780
     38.911667     37.312222     5.710
     38.461250    -28.232500     4.900
     38.945000     34.687500     5.350
     38.767082      7.471389     6.180
     38.677917     -7.859444     5.750
     39.020416      6.886944     5.820
     38.968750      5.593334     4.860
     38.477501    -51.093609     6.240
     39.238335     38.732777     5.900
     39.178749     31.607500     6.100
     39.260418     34.263889     5.300
     39.000000     -7.831666     5.530
     39.336666     39.895836     6.540
     39.276669     32.891945     6.250
     38.389999    -62.586945     6.770
     39.157917     12.447500     5.680
     39.240417     24.648333     7.090
     39.252083     24.647499     6.500
     39.146252      7.729722     5.810
     39.038750    -30.044722     5.750
     39.574165     37.726665     6.180
     39.615833     38.089443     6.300
     39.503334      7.695278     6.390
     39.424168     -3.396111     5.650
     39.244167    -34.578331     5.790
     39.704166     21.961390     5.430
     41.948334     81.448334     5.780
     39.653751      3.443056     6.210
     37.918751    -79.109444     5.280
     39.577915    -30.194166     5.830
     39.351665    -52.543056     5.310
     39.870834      0.328611     4.070
     39.603333    -37.990555     6.490
     39.890835    -11.872222     4.840
     40.171249     27.060833     5.300
     40.065418      6.111944     6.250
     40.051250     -9.453055     5.780
     40.761665     55.105831     5.770
     40.010418    -30.633888     6.520
     40.748749     53.526112     5.840
     40.562084     40.193890     4.910
     39.950001    -42.891670     4.750
     40.307919     -0.695833     5.710
     41.207085     67.824722     5.950
     40.757915     48.265556     6.480
     40.591667     20.011667     5.690
     40.166668    -39.855553     4.110
     40.451248     -3.213333     6.050
     40.391666    -14.549445     5.980
     40.620419     10.741667     6.300
     39.882084    -64.281944     6.550
     41.049999     49.228333     4.120
     41.021667     44.296944     5.430
     40.862915     27.707224     4.660
     40.165001    -54.549999     5.210
     40.963333     25.638056     6.350
     40.825001      3.235833     3.470
     40.527500    -38.383892     6.010
     39.897499    -68.266945     4.110
     40.535416    -46.524445     6.100
     41.079582     17.763889     6.460
     41.137085     15.311666     5.770
     40.639584    -50.800278     5.410
     41.030834    -13.858611     4.250
     41.240002     12.445833     5.180
     41.235416     10.114167     4.270
     40.834583    -40.527500     6.360
     42.231251     69.634163     6.180
     41.337082      4.711667     6.030
     41.085415    -32.525002     6.220
     41.275833    -18.572500     4.470
     41.742916     35.983612     6.250
     41.764584     35.555000     6.300
     41.044582    -52.570553     6.150
     41.318748    -46.287220     6.850
     40.860832    -66.714439     6.260
     41.977085     29.247223     4.510
     42.378334     57.084164     6.250
     41.688332    -21.639723     6.490
     41.796665    -22.485556     6.470
     42.133751     18.283611     5.820
     42.994583     68.888611     5.800
     42.191250     25.188055     5.860
     42.362915     37.326111     6.450
     41.983334    -12.460555     6.900
     41.364582    -63.704445     5.740
     42.674168     55.895557     3.760
     41.890415    -35.550831     6.510
     42.322918     17.464167     5.220
     41.385834    -67.616669     4.840
     42.495834     27.260555     3.630
     42.939583     58.314720     6.450
     42.646252     38.318611     4.230
     42.272499    -32.405834     4.460
     42.923752     46.841942     5.880
     42.878334     35.059723     4.530
     42.462502    -24.560278     6.140
     42.475834    -27.941666     5.390
     43.216667     52.997780     6.360
     42.873333     15.081944     5.490
     42.561668    -35.843609     5.920
     43.338333     48.569443     6.260
     42.759583    -21.004168     4.750
     42.668335    -35.676113     5.470
     42.256248    -62.806667     5.260
     42.699585    -39.931667     6.360
     43.564583     52.762501     3.950
     43.427502     38.337498     5.330
     43.298752     16.483334     6.310
     43.133751    -12.769444     6.040
     42.980415    -30.814444     6.400
     43.210415     -9.441112     6.320
     43.987083     61.521111     5.590
     44.103333     64.332497     6.240
     43.397083    -22.376389     5.950
     43.393333    -38.436947     5.920
     44.210835     51.260834     6.220
     44.139168     47.163891     6.020
     43.080002    -62.909725     6.030
     43.952084     18.331667     5.910
     43.470417    -49.890278     4.000
     44.108749     18.023056     5.630
     44.057499      8.381667     5.970
     43.527084    -50.871387     6.210
     42.618752    -75.066940     4.750
     44.322083     31.934166     5.110
     44.107082     -8.898055     3.890
     44.155834     -3.712222     5.170
     44.509583     38.614998     6.040
     44.269165      4.501111     6.110
     44.521667     20.668610     5.800
     44.690418     39.662781     4.700
     43.587082    -64.435555     6.560
     46.532501     79.418610     5.490
     44.765415     35.183056     4.930
     44.348751    -23.861944     5.450
     44.304585    -29.855278     6.290
     44.957916     47.220833     5.470
     44.916248     41.033054     5.890
     44.802917     21.340279     4.630
     44.802917     21.340279     4.630
     44.523750    -23.606112     5.840
     45.217499     52.351665     5.280
     45.222500     52.352222     6.740
     44.674999     -2.782500     5.230
     44.386250    -38.191113     6.410
     45.049168     38.131664     6.110
     44.697498     -9.776388     6.140
     44.928749      8.907499     4.700
     44.565418    -40.304722     3.240
     44.567917    -40.304443     4.350
     44.921665     -2.465000     5.560
     44.777500    -28.906944     6.140
